Address,City,State,Zip,AUTO_UNIQUE_ID_2019-08-19_glenpark_address_set_2,Source,UpdatedGeocoding,TimeTaken,TransactionId,Version,ErrorMessage,Latitude,Longitude,MatchType,MatchedLocationType,FeatureMatchingResultType,InterpolationType,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,GeocodeQualityType,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType
2000 20TH AV,Oakland,CA,,1836,USCGeocoder,1,109.4064,,4.1,,37.7899378468379,-122.23597167014,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,1493.7400631085,Meters,03,StreetSegmentInterpolation
2800 23RD AV,Oakland,CA,,1837,USCGeocoder,1,234.3787,,4.1,,37.7945859,-122.2260849,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
12TH ST & BRUSH ST,Oakland,CA,,1838,USCGeocoder,1,15.5704,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
1400 72ND AV,Oakland,CA,,1839,USCGeocoder,1,93.6683,,4.1,,37.7597539193284,-122.188078347058,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,6777.50273565389,Meters,03,StreetSegmentInterpolation
2300 E 20TH ST,Oakland,CA,,1840,USCGeocoder,1,125.0347,,4.1,,37.7876523950649,-122.231958542161,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,3857.47297205683,Meters,03,StreetSegmentInterpolation
4100 REDDING ST,Oakland,CA,,1841,USCGeocoder,1,31.2441,,4.1,,37.7889526062287,-122.197537889607,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,5228.59278829675,Meters,03,StreetSegmentInterpolation
6100 ACACIA AV,Oakland,CA,,1842,USCGeocoder,1,78.1165,,4.1,,37.8441928550584,-122.239589523747,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,1823.69739672029,Meters,03,StreetSegmentInterpolation
600 E 20TH ST,Oakland,CA,,1843,USCGeocoder,1,281.2191,,4.1,,37.7991111,-122.2470823,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
9800 HESKET RD,Oakland,CA,,1844,USCGeocoder,1,46.8679,,4.1,,37.7308566476904,-122.188910960949,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,2038.41614121874,Meters,03,StreetSegmentInterpolation
2300 FILBERT ST,Oakland,CA,,1845,USCGeocoder,1,62.4713,,4.1,,37.8156414821004,-122.280427152404,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,3939.2769054831,Meters,03,StreetSegmentInterpolation
