Address,City,State,Zip
7800 CLAREMONT AV,Oakland,CA,
53RD ST & GASKILL ST,Oakland,CA,
5800 NOTTINGHAM DR,Oakland,CA,
55TH AV & RUTH AV,Oakland,CA,
3100 CALIFORNIA ST,Oakland,CA,
83RD AV & IRIS ST,Oakland,CA,
7700 SKYLINE BLVD,Oakland,CA,
5300 REDWOOD RD,Oakland,CA,
CLEVELAND AV & MONTCLAIR AV,Oakland,CA,
0 41ST ST,Oakland,CA,
21ST AV & COMMERCE WY,Oakland,CA,
3700 EMERSON ST,Oakland,CA,
REDWOOD RD & SB S13,Oakland,CA,
E 17TH ST & 64TH AV,Oakland,CA,
5400 LEONA ST,Oakland,CA,
7100 SAN LEANDRO ST,Oakland,CA,
2700 11TH AV,Oakland,CA,
EDES AV & MADDUX DR,Oakland,CA,
DAVENPORT AV & KAPHAN AV,Oakland,CA,
4000 BROWN AV,Oakland,CA,
57TH AV & BRANN ST,Oakland,CA,
FREDERICK ST & KING ST,Oakland,CA,
5800 SKYLINE BLVD,Oakland,CA,
KING ST & STANFORD AV,Oakland,CA,
MARTIN LUTHER KING JR WY & THOMAS L. BERKLEY WY,Oakland,CA,
9300 MURILLO AV,Oakland,CA,
10000 SAN LEANDRO ST,Oakland,CA,
107TH AV & PONTIAC ST X,Oakland,CA,
1400 GLENFIELD AV,Oakland,CA,
E 24TH ST & 7TH AV,Oakland,CA,
3500 LOMA VISTA AV,Oakland,CA,
600 VIA RIALTO,Oakland,CA,
34TH AV & ORCHID ST,Oakland,CA,
1500 EVERETT AV,Oakland,CA,
13TH AV & E 38TH ST,Oakland,CA,
1700 105TH AV,Oakland,CA,
0 GLENWOOD GLADE,Oakland,CA,
21ST AV & SAN ANTONIO WY,Oakland,CA,
MACARTHUR BLVD & WOODRUFF AV,Oakland,CA,
LESSER ST & OAKPORT ST,Oakland,CA,
400 1&2 48TH ST,Oakland,CA,
ARDLEY AV & EXCELSIOR AV,Oakland,CA,
6900 EXETER DR,Oakland,CA,
1300 E 23RD ST,Oakland,CA,
400 7TH ST.,Oakland,CA,
CALIFORNIA ST & PATTERSON AV,Oakland,CA,
GORDON ST & HIGH ST,Oakland,CA,
90TH AV & PALMERA CT,Oakland,CA,
8400 OLIVE ST,Oakland,CA,
GRIZZLY PEAK BLVD & SKYLINE BLVD,Oakland,CA,
66TH ST & SHATTUCK AV,Oakland,CA,
EXCELSIOR AV & MACARTHUR BLVD,Oakland,CA,
0 EASTWOOD CT,Oakland,CA,
2200 27TH AV,Oakland,CA,
BROADWAY TER & SKYLINE BLVD,Oakland,CA,
900 ROSEMOUNT RD,Oakland,CA,
2300 ARROWHEAD DR,Oakland,CA,
E 17TH ST & 40TH AV,Oakland,CA,
6500 PINE NEEDLE DR,Oakland,CA,
2500 ALIDA ST,Oakland,CA,
4300 KANSAS ST,Oakland,CA,
KANSAS ST & LOMA VISTA AV,Oakland,CA,
2000 HARRISON ST,Oakland,CA,
4400 BOND ST,Oakland,CA,
6600 CHARING CROSS RD,Oakland,CA,
4400 ZIEGLER AV,Oakland,CA,
67TH AV & BRANN ST,Oakland,CA,
3200 HERRIOTT AV,Oakland,CA,
1300 47TH AV,Oakland,CA,
39TH AV & MERA ST,Oakland,CA,
6900 SPENCER ST,Oakland,CA,
9400 SKYLINE BLVD,Oakland,CA,
2600 LILAC ST,Oakland,CA,
4400 FAIR AV,Oakland,CA,
100 AGNES ST,Oakland,CA,
2400 VALDEZ ST,Oakland,CA,
